 | azW:1.039 | Still:0 | State:2
V:0.009 | P:-0.206 | AccMag:0.998 | azW:0.997 | Still:0 | State:2
V:0.006 | P:-0.206 | AccMag:0.994 | azW:0.994 | Still:0 | State:2
V:0.000 | P:-0.206 | AccMag:1.006 | azW:1.005 | Still:0 | State:2
V:-0.005 | P:-0.206 | AccMag:0.995 | azW:0.995 | Still:0 | State:2
V:-0.011 | P:-0.206 | AccMag:0.980 | azW:0.980 | Still:0 | State:2
V:-0.019 | P:-0.206 | AccMag:0.970 | azW:0.970 | Still:0 | State:2
V:-0.028 | P:-0.207 | AccMag:1.005 | azW:1.005 | Still:0 | State:2
V:-0.032 | P:-0.208 | AccMag:1.068 | azW:1.067 | Still:0 | State:2
V:-0.028 | P:-0.208 | AccMag:1.054 | azW:1.053 | Still:0 | State:2
V:-0.023 | P:-0.209 | AccMag:1.047 | azW:1.046 | Still:0 | State:2
V:-0.020 | P:-0.209 | AccMag:1.073 | azW:1.072 | Still:0 | State:2
V:-0.015 | P:-0.210 | AccMag:1.047 | azW:1.043 | Still:0 | State:2
V:-0.013 | P:-0.210 | AccMag:0.993 | azW:0.990 | Still:0 | State:2
V:-0.018 | P:-0.210 | AccMag:1.007 | azW:1.006 | Still:0 | State:2
V:-0.023 | P:-0.211 | AccMag:1.017 | azW:1.016 | Still:0 | State:2
V:-0.026 | P:-0.211 | AccMag:1.027 | azW:1.026 | Still:0 | State:2
V:-0.028 | P:-0.212 | AccMag:1.025 | azW:1.025 | Still:0 | State:2
V:-0.029 | P:-0.212 | AccMag:1.018 | azW:1.016 | Still:0 | State:2
V:-0.031 | P:-0.213 | AccMag:1.009 | azW:1.001 | Still:0 | State:2
V:-0.035 | P:-0.214 | AccMag:1.038 | azW:1.022 | Still:0 | State:2
V:-0.039 | P:-0.214 | AccMag:0.962 | azW:0.949 | Still:0 | State:2
V:-0.054 | P:-0.215 | AccMag:0.839 | azW:0.821 | Still:0 | State:2
V:-0.084 | P:-0.217 | AccMag:0.835 | azW:0.819 | Still:0 | State:2
V:-0.111 | P:-0.219 | AccMag:1.514 | azW:1.510 | Still:0 | State:2
V:-0.073 | P:-0.221 | AccMag:1.709 | azW:1.579 | Still:0 | State:2
